model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Mask R-CNN,915,0.68,2268.46,1.4,2270.54,0.44,8,0.6955,0,6,8,9,168,32,middle
Mask R-CNN,916,0.73,2271.06,1.62,2273.41,0.44,9,0.6865,0,8,8,9,170,32,middle
Mask R-CNN,917,0.76,2331.72,1.48,2333.96,0.43,10,0.7162,0,9,8,9,170,32,middle
Mask R-CNN,918,0.7,2268.65,1.9,2271.24,0.44,11,0.6679,0,9,8,9,170,32,middle
Mask R-CNN,919,0.67,2304.14,1.63,2306.45,0.43,11,0.6781,0,11,8,9,171,32,middle
Mask R-CNN,920,0.68,2427.05,1.9,2429.63,0.41,11,0.6696,0,11,8,9,171,32,middle
Mask R-CNN,921,0.8,2395.06,1.47,2397.33,0.42,12,0.6739,0,11,8,9,171,32,middle
Mask R-CNN,922,0.75,2316.76,1.78,2319.29,0.43,13,0.6446,0,12,8,9,171,33,middle
Mask R-CNN,923,0.69,2342.7,1.39,2344.79,0.43,12,0.6585,0,10,8,9,171,33,middle
Mask R-CNN,924,0.68,2374.2,1.32,2376.2,0.42,11,0.6779,0,11,8,9,172,33,middle
Mask R-CNN,925,0.69,2391.62,1.73,2394.03,0.42,11,0.68,0,11,8,9,172,33,middle
Mask R-CNN,926,0.68,2424.73,1.4,2426.81,0.41,11,0.6885,0,11,8,9,172,33,middle
Mask R-CNN,927,0.66,2299.47,1.62,2301.75,0.43,12,0.6756,0,11,8,9,172,33,middle
Mask R-CNN,928,0.74,2344.36,1.68,2346.77,0.43,14,0.6167,0,12,8,9,172,33,middle
Mask R-CNN,929,0.68,2335.58,1.91,2338.17,0.43,15,0.6002,0,11,8,9,172,33,middle
Mask R-CNN,930,1.61,2351.98,1.81,2355.4,0.42,15,0.6092,0,13,8,9,173,34,middle
Mask R-CNN,931,0.67,2442.66,1.6,2444.93,0.41,12,0.6599,0,11,8,9,173,34,middle
Mask R-CNN,932,0.66,2349.02,2.1,2351.78,0.43,17,0.6431,0,11,8,9,173,34,middle
Mask R-CNN,933,0.91,2415.54,2.11,2418.56,0.41,16,0.6601,0,16,8,9,175,35,middle
Mask R-CNN,934,0.69,2424.82,2.07,2427.58,0.41,17,0.6784,0,15,8,9,175,35,middle
Mask R-CNN,935,0.75,2386.14,2.05,2388.94,0.42,17,0.6738,0,16,8,9,176,35,middle
Mask R-CNN,936,0.67,2362.39,2.29,2365.36,0.42,17,0.6362,0,17,8,9,176,35,middle
Mask R-CNN,937,0.81,2383.24,2.21,2386.26,0.42,16,0.6478,0,15,8,9,176,35,middle
Mask R-CNN,938,0.73,2279.31,2.28,2282.31,0.44,17,0.6648,0,15,8,9,176,35,middle
Mask R-CNN,939,0.69,2275.06,2.16,2277.91,0.44,17,0.6423,0,15,8,9,177,35,middle
Mask R-CNN,940,0.69,2282.64,2.21,2285.54,0.44,16,0.6726,0,15,8,9,178,35,middle
Mask R-CNN,941,0.69,2317.99,2.38,2321.06,0.43,19,0.6008,0,16,8,9,178,35,middle
Mask R-CNN,942,0.69,2380.28,2.1,2383.07,0.42,18,0.6221,0,16,8,9,178,35,middle
Mask R-CNN,943,0.68,2312.64,2.1,2315.42,0.43,16,0.6538,0,16,8,9,179,35,middle
Mask R-CNN,944,0.72,2306.37,1.97,2309.06,0.43,13,0.6611,0,13,8,9,179,35,middle
Mask R-CNN,945,0.75,2315.51,2.56,2318.82,0.43,16,0.6292,0,13,8,10,179,35,middle
Mask R-CNN,946,0.7,2394.66,1.95,2397.31,0.42,16,0.6382,0,14,8,10,179,35,middle
Mask R-CNN,947,0.74,2323.81,2.45,2327.01,0.43,19,0.613,0,16,8,11,179,35,middle
Mask R-CNN,948,0.71,2311.18,2.37,2314.26,0.43,18,0.6368,0,18,8,11,179,35,middle
Mask R-CNN,949,0.72,2378.16,2.26,2381.13,0.42,18,0.6481,0,18,8,11,179,35,middle
Mask R-CNN,950,0.7,2325.04,2.57,2328.31,0.43,18,0.6268,0,18,8,11,179,35,middle
Mask R-CNN,951,0.98,2328.97,1.96,2331.91,0.43,17,0.6402,0,16,8,11,179,35,middle
Mask R-CNN,952,0.73,2330.12,2.45,2333.29,0.43,20,0.6076,0,16,8,11,179,35,middle
